,YEAR,ACTIVE YEAR,CODE STATUS,TYPE OF VIOLENCE,SIDE A,SIDE B,STATE,LATITUDE,LONGITUDE,NO OF DEATHS FROM SIDE A,NO OF DEATHS FROM SIDE B,NO OF DEATHS OF CIVILIANS,NO OF UNKNOWN DEATHS,TOTAL DEATHS,Region
2289,2016,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.890101,79.849712,0,3,0,0,3,Western
2290,2016,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.781733,84.24892,1,0,0,0,1,Northeastern
2291,2016,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,24.30928,86.071067,0,0,0,0,0,Northeastern
2292,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.768323,80.731559,1,0,0,0,1,Western
2293,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.40936,81.507133,0,3,0,0,3,Western
2294,2016,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.537431,80.417793,0,1,0,0,1,Western
2295,2016,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.6,84.6,0,1,0,0,1,Northeastern
2296,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.766822,80.9402,1,0,0,0,1,Western
2297,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.817937,80.866737,0,4,0,0,4,Western
2298,2016,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.75,84.4,1,0,0,0,1,Northeastern
2299,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.159741,81.600494,0,0,0,0,0,Western
2300,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.196037,80.977729,0,4,0,0,4,Western
2301,2016,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.781733,84.24892,10,3,0,0,13,Northeastern
2302,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.872877,81.166114,0,2,0,0,2,Western
2303,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2304,2016,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.002141,80.348819,0,1,0,0,1,Western
2305,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,1,0,0,0,1,Western
2306,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.2719,81.4931,1,0,0,0,1,Western
2307,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.115639,81.871967,0,2,0,0,2,Western
2308,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.49996,81.37964,0,3,0,0,3,Western
2309,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.055995,80.757244,0,1,0,0,1,Western
2310,2016,1,Clear,1,Government of India,CPI-Maoist,Bihar,25.158265,86.218364,1,0,0,0,1,Northeastern
2311,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.159741,81.600494,0,1,0,0,1,Western
2312,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.341864,80.704433,1,0,0,0,1,Western
2313,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.115639,81.871967,0,1,0,0,1,Western
2314,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.336305,81.476654,0,1,0,0,1,Western
2315,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,1,0,0,0,1,Western
2316,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.115639,81.871967,0,1,0,0,1,Western
2317,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2318,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,2,0,0,2,Western
2319,2016,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.932127,84.991119,0,1,0,0,1,Northeastern
2320,2016,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.083,83.2,0,1,0,0,1,Northeastern
2321,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.590579,81.686187,1,0,0,0,1,Western
2322,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2323,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,2,0,0,2,Western
2324,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.590579,81.686187,0,1,0,0,1,Western
2325,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.60426,81.08119,1,0,0,0,1,Western
2326,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2327,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2328,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.590579,81.686187,0,1,0,0,1,Western
2329,2016,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.373935,84.526027,1,0,0,0,1,Northeastern
2330,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.93312,80.97647,0,1,0,0,1,Western
2331,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.588525,80.770553,0,1,0,0,1,Western
2332,2016,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.696359,84.780288,0,1,0,0,1,Northeastern
2333,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2334,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.817766,81.381141,0,1,0,0,1,Western
2335,2016,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.295306,82.156063,1,24,0,0,25,Northeastern
2336,2016,1,Clear,1,Government of India,CPI-Maoist,Odisha,19.713236,83.251464,1,0,0,0,1,Northeastern
2337,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.460376,81.339317,0,1,0,0,1,Western
2338,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.589037,80.656005,1,0,0,0,1,Western
2339,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2340,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2341,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.962849,80.997548,0,1,0,0,1,Western
2342,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.590579,81.686187,0,1,0,0,1,Western
2343,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2344,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.49996,81.37964,0,6,0,0,6,Western
2345,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2346,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.460376,81.339317,0,5,0,0,5,Western
2347,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,1,0,0,0,1,Western
2348,2016,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.75,84.4,0,6,0,0,6,Northeastern
2349,2016,1,Clear,1,Government of India,CPI-Maoist,Kerala,11.27057,76.316017,0,2,0,0,2,Southern
2350,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.590579,81.686187,0,1,0,0,1,Western
2351,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.48429,81.290084,1,0,0,0,1,Western
2352,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,0,1,0,1,Western
2353,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2354,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,2,0,0,2,Western
2355,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.844247,81.546245,0,1,0,0,1,Western
2356,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.891646,80.779766,0,1,0,0,1,Western
2357,2016,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2358,2017,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.654785,86.422893,0,1,0,0,1,Northeastern
2359,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.415599,81.015625,0,1,0,0,1,Western
2360,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.46529,80.59886,0,1,0,0,1,Western
2361,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.962849,80.997548,0,1,0,0,1,Western
2362,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.460376,81.339317,1,5,0,0,6,Western
2363,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.775313,81.955421,0,1,0,0,1,Western
2364,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.778722,81.356369,1,0,0,0,1,Western
2365,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.60426,81.08119,0,0,3,0,3,Western
2366,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.275344,80.810417,0,2,0,0,2,Western
2367,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2368,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.237836,81.421302,1,0,0,0,1,Western
2369,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.579808,81.163936,0,2,0,0,2,Western
2370,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.52793,83.06706,8,0,0,0,8,Northeastern
2371,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.055995,80.757244,1,0,0,0,1,Western
2372,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2373,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,22.436,85.02906,0,2,0,0,2,Northeastern
2374,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.559669,80.924192,0,1,0,0,1,Western
2375,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,22.177934,82.159763,0,1,0,0,1,Western
2376,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.559669,80.924192,0,1,0,0,1,Western
2377,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.28191,81.464286,2,0,0,0,2,Western
2378,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2379,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2380,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.20871,81.416259,0,7,0,0,7,Western
2381,2017,1,Clear,1,Government of India,CPI-Maoist,Bihar,25.034277,87.014419,0,1,0,0,1,Northeastern
2382,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.087641,82.010963,0,1,0,0,1,Western
2383,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.845075,81.159248,2,0,0,0,2,Western
2384,2017,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.591578,86.465602,3,0,0,0,3,Northeastern
2385,2017,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.534762,85.353206,0,4,0,0,4,Northeastern
2386,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.030982,81.322044,12,0,0,0,12,Western
2387,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2388,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.646661,81.258148,0,2,0,0,2,Western
2389,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.494613,81.404644,2,6,0,0,8,Western
2390,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.03013,80.719604,1,0,0,0,1,Western
2391,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,19.147355,83.236868,0,1,0,0,1,Northeastern
2392,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.096483,81.199829,0,0,1,0,1,Western
2393,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.2719,81.4931,0,0,1,0,1,Western
2394,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,0,1,0,1,Western
2395,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,12,0,0,12,Western
2396,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.284591,81.214324,26,0,0,0,26,Western
2397,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.414575,80.583911,1,0,0,0,1,Western
2398,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,2,0,0,2,Western
2399,2017,1,Clear,1,Government of India,CPI-Maoist,Andhra Pradesh,17.997814,82.283622,0,0,1,0,1,Southern
2400,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.5,82.0,0,0,0,14,14,Western
2401,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.26794,81.73828,0,1,0,0,1,Western
2402,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.559669,80.924192,1,0,0,0,1,Western
2403,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.131852,81.400787,0,4,0,0,4,Western
2404,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.110628,82.099086,0,1,0,0,1,Northeastern
2405,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2406,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.352674,83.719547,1,0,0,0,1,Northeastern
2407,2017,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.967308,86.141654,0,1,0,0,1,Northeastern
2408,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.278619,81.51963,0,1,0,0,1,Western
2409,2017,1,Clear,1,Government of India,CPI-Maoist,Bihar,25.025074,86.291934,0,2,0,0,2,Northeastern
2410,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.161844,80.532924,0,3,0,0,3,Western
2411,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.993766,80.877532,0,1,0,0,1,Western
2412,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.42509,81.146499,0,2,0,0,2,Western
2413,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.048433,80.839279,1,0,0,0,1,Western
2414,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.136522,81.216529,0,18,0,0,18,Western
2415,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.840827,81.251792,3,0,0,0,3,Western
2416,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.656331,80.937736,0,2,0,0,2,Western
2417,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.223188,80.400459,0,1,0,0,1,Western
2418,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.20338,80.407897,0,2,0,0,2,Western
2419,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.259497,80.158111,0,1,0,0,1,Western
2420,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.524013,80.750503,2,0,0,0,2,Western
2421,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,2,0,0,2,Western
2422,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.74304,80.950904,1,0,0,0,1,Western
2423,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2424,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.74304,80.950904,1,0,0,0,1,Western
2425,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.224208,83.819427,0,1,0,0,1,Northeastern
2426,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.96798,80.314792,0,1,0,0,1,Western
2427,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.083,83.2,0,1,0,0,1,Northeastern
2428,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.920814,81.044357,0,2,0,0,2,Western
2429,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2430,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.952832,82.851139,0,2,0,0,2,Northeastern
2431,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.539555,80.59402,0,1,0,0,1,Western
2432,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.440943,80.936139,0,3,0,0,3,Western
2433,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.2719,81.4931,1,0,0,0,1,Western
2434,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.429735,80.995208,0,1,0,0,1,Western
2435,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.60426,81.08119,0,5,0,0,5,Western
2436,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.702978,81.250113,1,0,0,0,1,Western
2437,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.673652,80.987937,0,3,0,0,3,Western
2438,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,2,0,0,2,Western
2439,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.958049,81.312652,1,0,0,0,1,Western
2440,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.56215,80.578037,1,0,0,0,1,Western
2441,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.890101,79.849712,0,0,0,5,5,Western
2442,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,20.436552,80.596244,1,0,0,0,1,Western
2443,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.003364,80.997116,0,0,1,0,1,Western
2444,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.003364,80.997116,0,0,1,0,1,Western
2445,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.217706,81.102157,0,1,0,0,1,Western
2446,2017,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,18.956709,80.167306,0,8,0,0,8,Western
2447,2017,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.174147,82.26041,0,1,0,0,1,Northeastern
2448,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.380584,81.384399,0,1,0,0,1,Western
2449,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.874538,81.02452,0,1,0,0,1,Western
2450,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.175167,80.411903,0,1,0,0,1,Western
2451,2017,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.043348,81.059707,0,1,0,0,1,Western
2452,2018,1,Clear,1,Government of India,CPI-Maoist,Bihar,24.489318,85.026481,1,0,0,0,1,Northeastern
2453,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.736688,81.039001,0,2,0,0,2,Western
2454,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2455,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.755007,82.01266,1,0,0,0,1,Western
2456,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2457,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,1,0,0,0,1,Western
2458,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.039892,81.272874,0,1,0,0,1,Western
2459,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.689126,80.248432,0,1,0,0,1,Western
2460,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.607096,80.801597,0,1,0,0,1,Western
2461,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.464063,80.958473,4,0,0,0,4,Western
2462,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.333713,81.126663,0,2,0,0,2,Western
2463,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.67208,84.226104,0,1,0,0,1,Northeastern
2464,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.968173,80.7266,1,0,0,0,1,Western
2465,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.49996,81.37964,0,1,0,0,1,Western
2466,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.49996,81.37964,1,0,0,0,1,Western
2467,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.055995,80.757244,0,2,0,0,2,Western
2468,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.91667,84.08333,0,1,0,0,1,Northeastern
2469,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,0,0,0,0,Western
2470,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.973506,81.439834,0,1,0,0,1,Western
2471,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.030982,81.322044,2,20,1,0,23,Western
2472,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.655852,80.305923,1,0,0,0,1,Western
2473,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.91667,84.08333,0,4,0,0,4,Northeastern
2474,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.325895,80.7863,1,10,0,0,11,Western
2475,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.905874,81.274238,2,0,0,0,2,Western
2476,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.964725,81.073913,9,0,0,0,9,Western
2477,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.67047,82.00785,0,1,0,0,1,Northeastern
2478,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.867209,83.168983,0,4,0,0,4,Northeastern
2479,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.849975,80.258403,0,1,0,0,1,Western
2480,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.733221,80.270492,0,0,1,0,1,Western
2481,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.833722,81.489467,0,0,1,0,1,Western
2482,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.849975,80.258403,0,1,0,0,1,Western
2483,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,18.953941,80.071472,0,3,0,0,3,Western
2484,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,23.75,84.4,0,5,0,0,5,Northeastern
2485,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.04956,81.078262,0,1,0,0,1,Western
2486,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.40936,81.507133,1,0,0,0,1,Western
2487,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.977369,80.848388,2,0,0,0,2,Western
2488,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,19.396043,83.697715,1,0,0,0,1,Northeastern
2489,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,1,0,0,0,1,Western
2490,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.364902,80.47974,0,34,0,0,34,Western
2491,2018,1,Clear,1,Government of India,CPI-Maoist,Maharashtra,19.259497,80.158111,0,6,0,0,6,Western
2492,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,19.904929,82.190311,0,0,0,0,0,Northeastern
2493,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.244964,80.953651,0,7,0,0,7,Western
2494,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.18349,80.995582,0,2,0,0,2,Western
2495,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,20.364807,82.372631,2,0,0,0,2,Western
2496,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,17.828796,81.281089,0,1,0,0,1,Western
2497,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.086714,80.560422,1,0,0,0,1,Western
2498,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,21.055995,80.757244,0,1,0,0,1,Western
2499,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.258428,82.084949,0,1,0,0,1,Northeastern
2500,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.601752,82.85712,0,2,0,0,2,Northeastern
2501,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.527377,84.30635,0,4,0,0,4,Northeastern
2502,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,20.527377,84.30635,0,1,0,0,1,Northeastern
2503,2018,1,Clear,1,Government of India,CPI-Maoist,Odisha,18.567296,82.194976,0,1,0,0,1,Northeastern
2504,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.766822,80.9402,1,0,0,0,1,Western
2505,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.608271,81.267848,7,0,0,0,7,Western
2506,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.84322,80.7761,0,1,0,0,1,Western
2507,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.394752,81.661966,0,1,0,0,1,Western
2508,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.250146,81.32785,1,0,0,0,1,Western
2509,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.877648,85.594578,1,0,0,0,1,Northeastern
2510,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.095924,80.975326,0,1,0,0,1,Western
2511,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,24.049259,83.631227,6,0,0,0,6,Northeastern
2512,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.404942,81.41146,0,1,0,0,1,Western
2513,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.806051,80.776641,0,1,0,0,1,Western
2514,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.348531,81.196929,0,1,0,0,1,Western
2515,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.60426,81.08119,0,2,0,0,2,Western
2516,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.804782,81.624759,0,3,0,0,3,Western
2517,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,18.236864,81.183204,0,2,0,0,2,Western
2518,2018,1,Clear,1,Government of India,CPI-Maoist,Chhattisgarh,19.868307,80.619415,2,0,0,0,2,Western
2519,2018,1,Clear,1,Government of India,CPI-Maoist,Jharkhand,22.779215,86.401069,1,0,0,0,1,Northeastern
